,Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie W Mieście,Typ nadwozia,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Kraj pochodzenia,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,Numer rejestracyjny pojazdu,Emisja CO2,Faktura VAT,Leasing,Tuning,Okres gwarancji producenta
0,75900,Osoby prywatnej,Osobowe,Audi,A6,null,2012,163 000 km,2 995 cm3,Benzyna,310 KM,Automatyczna,4x4 (stały),null,Sedan,5,5,Czarny,Metalik,Stany Zjednoczone,24/04/2012,Tak,null,null,null,Używane,null,null,null,null,null,null
1,133800,Firmy,Osobowe,Audi,A6,2.0 TDI ultra S tronic,2018,169 800 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,5 l/100km,Kombi,5,5,Czarny,Metalik,Niemcy,01/07/2018,null,Tak,Tak,Tak,Używane,MAX MAX FULL,118 g/km,null,Tak,null,null
2,288888,Firmy,Osobowe,Audi,A6,40 TDI mHEV Quattro Sport S tronic,2021,100 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (stały),5 l/100km,Sedan,5,5,Niebieski,Perłowy,Polska,null,Tak,Tak,Tak,Tak,Nowe,null,125 g/km,Tak,Tak,null,28/12/2023
3,119000,Osoby prywatnej,Osobowe,Audi,A6,2.0 TFSI S tronic,2018,162 000 km,1 984 cm3,Benzyna,252 KM,Automatyczna,Na przednie koła,7 l/100km,Sedan,4,5,Czarny,Metalik,null,14/08/2018,null,null,null,Tak,Używane,null,137 g/km,null,null,null,null
4,17900,Osoby prywatnej,Osobowe,Audi,A6,2.7 TDI,2005,232 000 km,2 698 cm3,Diesel,180 KM,Manualna,Na przednie koła,9 l/100km,Kombi,5,5,Szary,Perłowy,Holandia,12/04/2005,null,null,Tak,Tak,Używane,null,null,null,null,null,null
5,99800,Osoby prywatnej,Osobowe,Audi,A6,Avant 3.0 TDI quattro S tronic,2015,241 021 km,2 967 cm3,Diesel,218 KM,Automatyczna,null,"5,70 l/100km",Kombi,5,5,Czarny,Perłowy,null,null,Tak,null,Tak,null,Używane,null,null,null,null,null,null
6,76200,Firmy,Osobowe,Audi,A6,null,2014,175 648 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,null,Kombi,5,5,Czarny,null,Niemcy,null,null,null,Tak,null,Używane,null,null,null,null,null,null
7,27000,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI Multitronic,2008,211 328 km,1 968 cm3,Diesel,170 KM,Automatyczna,Na przednie koła,7 l/100km,Sedan,5,5,Inny kolor,null,null,null,Tak,null,Tak,null,Używane,null,181 g/km,null,null,null,null
8,254650,Firmy,Osobowe,Audi,A6,null,2021,23 406 km,1 984 cm3,Benzyna,265 KM,Automatyczna,Na przednie koła,null,Kombi,5,5,Niebieski,Metalik,Polska,05/07/2021,null,Tak,Tak,Tak,Używane,null,null,Tak,Tak,null,null
9,139900,Firmy,Osobowe,Audi,A6,null,2017,135 012 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,null,Sedan,4,5,Czarny,Metalik,Polska,05/07/2017,Tak,null,null,Tak,Używane,PSE52375,null,Tak,null,null,null
10,154900,Firmy,Osobowe,Audi,A6,Avant 3.0 TDI competition quattro tiptronic,2016,142 900 km,2 967 cm3,Diesel,326 KM,Automatyczna,4x4 (stały),"7,70 l/100km",Kombi,5,5,Czerwony,Perłowy,Niemcy,02/02/2016,Tak,null,Tak,Tak,Używane,null,169 g/km,null,null,null,null
11,220293,Firmy,Osobowe,Audi,A6,50 TDI mHEV Quattro Sport Tiptronic,2018,109 900 km,2 967 cm3,Diesel,286 KM,Automatyczna,4x4 (stały),7 l/100km,Kombi,5,5,Inny kolor,Metalik,Niemcy,09/11/2018,Tak,Tak,Tak,Tak,Używane,DWR8886J,155 g/km,Tak,null,null,null
12,99900,Firmy,Osobowe,Audi,A6,Avant 3.0 TDI DPF quattro S tronic,2014,189 000 km,2 967 cm3,Diesel,204 KM,Automatyczna,4x4 (stały),"6,80 l/100km",Kombi,5,5,Szary,Metalik,null,null,Tak,Tak,Tak,Tak,Używane,null,152 g/km,null,Tak,null,null
13,194217,Firmy,Osobowe,Audi,A6,Avant 50 TDI quattro tiptronic,2018,147 000 km,2 967 cm3,Diesel,286 KM,Automatyczna,4x4 (stały),7 l/100km,Kombi,5,5,Czarny,Metalik,Niemcy,10/10/2018,Tak,Tak,Tak,Tak,Używane,null,155 g/km,Tak,null,null,null
14,210000,Firmy,Osobowe,Audi,A6,null,2020,14 692 km,1 968 cm3,Diesel,204 KM,Automatyczna,Na przednie koła,null,Sedan,4,5,Czarny,Metalik,Polska,05/03/2021,Tak,Tak,Tak,Tak,Używane,null,null,Tak,null,null,null
15,109900,Firmy,Osobowe,Audi,A6,Avant 2.0 TDI Ultra S tronic,2018,169 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,"5,20 l/100km",Kombi,5,5,Srebrny,Perłowy,null,null,null,Tak,Tak,Tak,Używane,null,118 g/km,null,Tak,null,null
16,273900,Firmy,Osobowe,Audi,A6,40 TDI mHEV Sport S tronic,2021,5 000 km,1 968 cm3,Diesel,204 KM,Automatyczna,null,5 l/100km,Kombi,5,5,Niebieski,Metalik,Polska,26/08/2021,Tak,null,Tak,null,Nowe,GWE 3724R,null,Tak,Tak,null,null
17,34900,Osoby prywatnej,Osobowe,Audi,A6,null,2007,231 000 km,2 967 cm3,Diesel,233 KM,Manualna,4x4 (dołączany automatycznie),11 l/100km,Kombi,5,5,Szary,Metalik,null,20/11/2007,null,Tak,Tak,null,Używane,null,null,null,null,null,null
18,335435,Firmy,Osobowe,Audi,A6,40 TDI mHEV Quattro Sport S tronic,2021,10 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (stały),5 l/100km,Sedan,4,5,Czarny,Metalik,Polska,null,null,Tak,Tak,null,Nowe,null,123 g/km,Tak,Tak,null,null
19,234900,Firmy,Osobowe,Audi,A6,null,2021,23 203 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (dołączany automatycznie),null,Sedan,4,5,Niebieski,null,Polska,08/04/2021,Tak,Tak,Tak,Tak,Używane,null,null,Tak,null,null,null
20,239900,Firmy,Osobowe,Audi,A6,null,2021,19 327 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (dołączany automatycznie),null,Kombi,5,5,Niebieski,null,Polska,16/03/2021,Tak,Tak,Tak,Tak,Używane,null,null,Tak,null,null,null
21,25000,Osoby prywatnej,Osobowe,Audi,A6,3.2 FSI,2005,250 000 km,3 123 cm3,Benzyna,255 KM,Manualna,Na przednie koła,14 l/100km,Sedan,5,5,Szary,Perłowy,null,null,Tak,null,null,null,Używane,null,null,null,null,null,null
22,27900,Osoby prywatnej,Osobowe,Audi,A6,3.0 TDI Quattro Tiptronic,2006,339 879 km,2 967 cm3,Diesel,224 KM,Automatyczna,4x4 (dołączany automatycznie),11 l/100km,Kombi,5,5,Zielony,null,null,null,null,null,null,null,Używane,null,null,null,null,null,null
23,240000,Firmy,Osobowe,Audi,A6,null,2020,14 395 km,1 968 cm3,Diesel,204 KM,Automatyczna,Na przednie koła,null,Kombi,5,5,Szary,Metalik,Polska,20/08/2020,Tak,Tak,Tak,Tak,Używane,null,null,Tak,null,null,null
24,231900,Firmy,Osobowe,Audi,A6,45 TFSI mHEV Quattro S tronic,2021,28 818 km,1 984 cm3,Benzyna,265 KM,Automatyczna,4x4 (stały),8 l/100km,Sedan,5,5,Niebieski,Metalik,Polska,13/04/2021,Tak,Tak,Tak,Tak,Używane,DLU4036A,156 g/km,Tak,null,null,21/03/2026
25,229900,Firmy,Osobowe,Audi,A6,null,2021,26 280 km,1 984 cm3,Benzyna,265 KM,Automatyczna,4x4 (dołączany automatycznie),null,Sedan,4,5,Czarny,null,Polska,18/03/2021,Tak,Tak,Tak,Tak,Używane,null,null,Tak,null,null,null
26,209000,Osoby prywatnej,Osobowe,Audi,A6,Avant 40 TDI S tronic,2019,14 000 km,1 968 cm3,Diesel,204 KM,Automatyczna,Na przednie koła,"5,30 l/100km",Kombi,5,5,Szary,Metalik,Polska,18/04/2019,Tak,null,Tak,Tak,Używane,WZ272CU,null,Tak,null,null,03/04/2024
27,229000,Osoby prywatnej,Osobowe,Audi,A6,null,2019,32 900 km,2 995 cm3,Benzyna,1 KM,Automatyczna,4x4 (stały),10 l/100km,Sedan,5,5,Czarny,Metalik,null,01/01/2019,Tak,Tak,null,null,Używane,null,null,null,null,null,null
28,304900,Firmy,Osobowe,Audi,A6,null,2021,23 132 km,2 967 cm3,Diesel,286 KM,Automatyczna,4x4 (dołączany automatycznie),null,Kombi,5,5,Niebieski,null,Polska,07/06/2021,Tak,Tak,Tak,Tak,Używane,null,null,Tak,null,null,null
29,17600,Osoby prywatnej,Osobowe,Audi,A6,null,2003,110 000 km,2 486 cm3,Diesel,180 KM,Manualna,4x4 (dołączany automatycznie),null,Sedan,5,5,Srebrny,Metalik,Włochy,29/04/2003,Tak,null,Tak,Tak,Używane,KLI92861,null,null,null,null,null
30,82000,Osoby prywatnej,Osobowe,Audi,A6,3.0 TFSI quattro S tronic,2012,198 150 km,2 995 cm3,Benzyna,300 KM,Automatyczna,4x4 (stały),"10,80 l/100km",Sedan,4,5,Srebrny,Metalik,Polska,23/07/2012,Tak,null,null,Tak,Używane,DW845RL,null,null,null,null,null
31,56700,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI Multitronic,2012,170 098 km,1 968 cm3,Diesel,177 KM,Automatyczna,Na przednie koła,6 l/100km,Kombi,5,5,Czarny,Perłowy,null,18/10/2012,null,null,null,Tak,Używane,CTRYUHG,null,null,null,null,null
32,68700,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI Prime Line,2012,182 800 km,1 968 cm3,Diesel,177 KM,Manualna,Na przednie koła,6 l/100km,Kombi,4,5,Szary,Perłowy,Niemcy,06/06/2012,null,null,Tak,Tak,Używane,null,null,null,null,null,null
33,37900,Firmy,Osobowe,Audi,A6,4.2 FSI quattro tiptronic,2006,289 760 km,4 163 cm3,Benzyna,350 KM,Automatyczna,4x4 (dołączany automatycznie),15 l/100km,Sedan,4,5,Czarny,Metalik,Austria,12/06/2006,null,null,Tak,Tak,Używane,IL885GK,null,null,null,null,null
34,68900,Osoby prywatnej,Osobowe,Audi,A6,Avant 3.0 TDI DPF quattro tiptronic,2014,314 000 km,2 967 cm3,Diesel,313 KM,Automatyczna,null,"7,90 l/100km",Kombi,5,5,Czarny,null,null,null,null,null,null,null,Używane,null,null,null,null,null,null
35,115000,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI quattro S tronic,2016,167 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,4x4 (stały),7 l/100km,Kombi,4,5,Szary,Metalik,Niemcy,null,Tak,null,Tak,null,Używane,null,null,null,null,null,null
36,91000,Osoby prywatnej,Osobowe,Audi,A6,3.0 TFSI Quattro S tronic,2015,76 000 km,2 995 cm3,Benzyna,310 KM,Automatyczna,4x4 (stały),13 l/100km,Sedan,5,5,Czarny,Metalik,null,null,null,null,null,null,Używane,null,null,null,null,null,null
37,183000,Osoby prywatnej,Osobowe,Audi,A6,null,2019,39 000 km,1 984 cm3,Benzyna,245 KM,Automatyczna,4x4 (stały),null,Sedan,4,5,Inny kolor,Metalik,null,11/06/2019,Tak,null,null,null,Używane,RJA 0077F,null,null,null,null,null
38,55900,Osoby prywatnej,Osobowe,Audi,A6,Avant 2.0 TDI DPF,2012,329 000 km,1 968 cm3,Diesel,177 KM,Manualna,Na przednie koła,"6,10 l/100km",Kombi,5,5,Czarny,Metalik,Niemcy,27/04/2012,Tak,null,null,Tak,Używane,PJA34721,null,null,null,null,null
39,17990,Osoby prywatnej,Osobowe,Audi,A6,null,2006,198 000 km,2 393 cm3,Benzyna,177 KM,Automatyczna,null,null,Kombi,5,null,Srebrny,Metalik,Niemcy,null,null,null,Tak,Tak,Używane,null,null,null,null,null,null
40,140000,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI ultra S tronic,2018,24 632 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,5 l/100km,Sedan,5,5,Biały,Metalik,Polska,14/06/2018,Tak,Tak,Tak,Tak,Używane,null,null,null,null,null,null
41,25900,Osoby prywatnej,Osobowe,Audi,A6,2.0T FSI,2005,260 454 km,1 984 cm3,Benzyna,170 KM,Manualna,Na przednie koła,11 l/100km,Kombi,5,5,Niebieski,Metalik,Niemcy,14/12/2005,Tak,null,Tak,Tak,Używane,LUB 68989,null,null,null,null,null
42,25500,Osoby prywatnej,Osobowe,Audi,A6,null,2008,292 800 km,2 967 cm3,Diesel,233 KM,Automatyczna,4x4 (stały),null,Kombi,5,5,Srebrny,null,Niemcy,14/02/2008,Tak,null,null,null,Używane,EL,null,null,null,null,null
43,86000,Firmy,Osobowe,Audi,A6,null,2012,89 911 km,2 995 cm3,Benzyna,310 KM,Automatyczna,4x4 (dołączany automatycznie),null,Sedan,4,5,Czarny,Metalik,Polska,15/01/2013,Tak,null,null,Tak,Używane,null,null,null,Tak,null,null
44,36000,Osoby prywatnej,Osobowe,Audi,A6,null,2009,350 731 km,2 698 cm3,Diesel,190 KM,Automatyczna,null,9 l/100km,Kombi,5,5,Czarny,null,null,null,Tak,null,null,null,Używane,GBY 5516M,null,null,null,null,null
45,105000,Osoby prywatnej,Osobowe,Audi,A6,3.0 TDI Quattro S tronic,2015,99 000 km,2 967 cm3,Diesel,272 KM,Automatyczna,4x4 (stały),6 l/100km,Sedan,5,5,Srebrny,Metalik,null,01/01/2016,Tak,null,null,null,Używane,PJA28181,138 g/km,null,null,null,null
46,134900,Firmy,Osobowe,Audi,A6,null,2017,109 686 km,1 698 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,null,Kombi,5,5,Szary,null,null,01/10/2017,Tak,null,Tak,Tak,Używane,null,114 g/km,Tak,Tak,null,null
47,159900,Firmy,Osobowe,Audi,A6,null,2017,199 100 km,2 967 cm3,Diesel,272 KM,Automatyczna,4x4 (stały),null,Sedan,4,5,Niebieski,Metalik,Niemcy,27/04/2017,Tak,null,Tak,Tak,Używane,null,null,null,null,null,null
48,60800,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI Prime Line,2012,259 969 km,1 968 cm3,Diesel,177 KM,Manualna,Na przednie koła,6 l/100km,Sedan,4,5,Szary,Perłowy,Niemcy,null,null,null,Tak,Tak,Używane,null,null,null,null,null,null
49,325000,Firmy,Osobowe,Audi,A6,null,2020,17 000 km,1 984 cm3,Hybryda,299 KM,Automatyczna,4x4 (stały),null,Sedan,4,5,Czarny,Metalik,Polska,null,Tak,Tak,null,Tak,Używane,null,null,Tak,Tak,null,null
50,284600,Firmy,Osobowe,Audi,A6,null,2021,8 500 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (dołączany automatycznie),null,Sedan,5,5,Szary,Perłowy,Polska,null,Tak,Tak,Tak,Tak,Używane,null,null,Tak,Tak,null,null
51,29700,Firmy,Osobowe,Audi,A6,null,2007,250 000 km,2 400 cm3,Benzyna,177 KM,Manualna,4x4 (stały),null,Kombi,5,5,Szary,Metalik,null,null,null,null,Tak,Tak,Używane,null,null,null,null,null,null
52,52900,Osoby prywatnej,Osobowe,Audi,A6,null,2011,254 887 km,1 968 cm3,Diesel,177 KM,Automatyczna,Na przednie koła,null,Kombi,5,5,Szary,Metalik,Szwecja,03/01/2012,null,null,Tak,Tak,Używane,NZB742,null,null,null,null,null
53,298400,Firmy,Osobowe,Audi,A6,null,2022,4 000 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (dołączany automatycznie),null,Sedan,5,5,Czarny,Metalik,Polska,null,Tak,null,Tak,null,Nowe,null,null,Tak,Tak,null,null
54,39999,Osoby prywatnej,Osobowe,Audi,A6,null,2010,183 305 km,1 968 cm3,Diesel,170 KM,Automatyczna,Na przednie koła,null,Kombi,5,5,Czarny,Metalik,Polska,19/05/2010,Tak,null,null,null,Używane,KTTAK99,null,null,null,null,null
55,70000,Osoby prywatnej,Osobowe,Audi,A6,Avant 2.0 TDI Ultra S tronic,2014,189 500 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,"5,20 l/100km",Kombi,5,5,Inny kolor,Metalik,Niemcy,04/08/2014,Tak,null,null,null,Używane,BSKWM49,null,null,null,null,null
56,25000,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI,2006,356 000 km,1 968 cm3,Diesel,140 KM,Manualna,null,8 l/100km,Kombi,5,5,Czarny,null,null,null,Tak,null,null,Tak,Używane,null,null,null,null,null,null
57,23900,Osoby prywatnej,Osobowe,Audi,A6,2.4,2008,272 000 km,2 393 cm3,Benzyna,177 KM,Manualna,Na przednie koła,14 l/100km,Kombi,5,5,Czarny,Metalik,null,null,null,null,Tak,Tak,Używane,null,null,null,null,null,null
58,279900,Firmy,Osobowe,Audi,A6,null,2021,16 104 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (dołączany automatycznie),null,Kombi,5,5,Szary,Perłowy,null,28/05/2021,Tak,Tak,Tak,Tak,Używane,null,null,Tak,null,null,null
59,324900,Firmy,Osobowe,Audi,A6,null,2021,27 854 km,2 967 cm3,Diesel,245 KM,Automatyczna,4x4 (stały),null,Kombi,5,5,Biały,Metalik,null,19/07/2021,Tak,Tak,Tak,Tak,Używane,null,null,Tak,null,null,null
60,259900,Firmy,Osobowe,Audi,A6,null,2020,16 503 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (dołączany automatycznie),null,Sedan,4,5,Srebrny,Metalik,null,26/05/2020,Tak,Tak,Tak,Tak,Używane,null,null,Tak,null,null,null
61,82900,Osoby prywatnej,Osobowe,Audi,A6,null,2014,144 000 km,1 968 cm3,Diesel,177 KM,Automatyczna,Na przednie koła,null,Kombi,5,5,Szary,Metalik,Belgia,null,null,null,Tak,null,Używane,null,null,null,null,null,null
62,259900,Firmy,Osobowe,Audi,A6,Avant 50 TDI quattro tiptronic,2018,121 500 km,2 967 cm3,Diesel,286 KM,Automatyczna,4x4 (stały),"7,60 l/100km",Kombi,5,5,Czarny,Metalik,Niemcy,null,null,Tak,Tak,Tak,Używane,null,null,Tak,Tak,null,null
63,285000,Osoby prywatnej,Osobowe,Audi,A6,50 TDI mHEV Quattro Sport Tiptronic,2019,52 004 km,2 967 cm3,Diesel,286 KM,Automatyczna,4x4 (stały),7 l/100km,Kombi,5,5,Niebieski,Metalik,null,05/03/2019,Tak,null,Tak,Tak,Używane,SK312UV,155 g/km,Tak,Tak,null,29/07/2023
64,294400,Firmy,Osobowe,Audi,A6,null,2021,1 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (stały),7 l/100km,Kombi,5,5,Szary,Metalik,Polska,null,null,null,Tak,null,Nowe,null,null,Tak,null,null,null
65,292000,Firmy,Osobowe,Audi,A6,null,2021,10 100 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (stały),7 l/100km,Kombi,5,5,Niebieski,Metalik,Polska,null,null,null,Tak,null,Używane,null,null,Tak,null,null,null
66,349800,Firmy,Osobowe,Audi,A6,null,2022,1 km,1 984 cm3,Benzyna,265 KM,Automatyczna,4x4 (stały),null,Kombi,5,5,Niebieski,Metalik,Polska,null,null,null,Tak,null,Nowe,null,null,Tak,null,null,null
67,317300,Firmy,Osobowe,Audi,A6,45 TFSI mHEV Quattro S tronic,2021,1 km,1 984 cm3,Benzyna,265 KM,Automatyczna,4x4 (stały),8 l/100km,Sedan,4,5,Szary,Metalik,Polska,null,null,null,Tak,null,Nowe,null,null,Tak,null,null,null
68,257800,Firmy,Osobowe,Audi,A6,null,2022,1 km,1 968 cm3,Diesel,163 KM,Automatyczna,Na przednie koła,4 l/100km,Kombi,5,5,Czarny,Metalik,Polska,null,null,null,Tak,null,Nowe,null,null,Tak,null,null,null
69,9900,Osoby prywatnej,Osobowe,Audi,A6,null,2003,358 000 km,1 781 cm3,Benzyna+LPG,149 KM,Manualna,Na przednie koła,null,Kombi,5,5,Srebrny,Metalik,Szwecja,09/10/2003,Tak,null,null,null,Używane,WL2591k,null,null,null,null,null
70,274900,Firmy,Osobowe,Audi,A6,null,2021,5 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (stały),null,Kombi,5,5,Biały,Metalik,Polska,null,null,null,Tak,null,Nowe,null,null,Tak,Tak,null,null
71,54900,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI Multitronic,2011,265 000 km,1 968 cm3,Diesel,177 KM,Automatyczna,Na przednie koła,6 l/100km,Kombi,5,5,Czarny,null,null,05/11/2013,Tak,null,Tak,null,Używane,null,null,null,null,null,null
72,254900,Firmy,Osobowe,Audi,A6,50 TDI mHEV Quattro Tiptronic,2018,89 965 km,2 967 cm3,Diesel,286 KM,Automatyczna,4x4 (stały),7 l/100km,Sedan,4,5,Biały,null,null,null,Tak,Tak,Tak,null,Używane,null,null,Tak,null,null,null
73,82900,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI Ultra S tronic,2018,94 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,5 l/100km,Sedan,4,5,Szary,Metalik,Polska,24/07/2018,null,null,null,null,Używane,null,null,Tak,null,null,null
74,315000,Firmy,Osobowe,Audi,A6,null,2020,34 091 km,2 967 cm3,Diesel,286 KM,Automatyczna,4x4 (stały),null,Kombi,5,5,Szary,Metalik,null,09/03/2021,Tak,Tak,Tak,Tak,Używane,null,null,Tak,null,null,null
75,26500,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI DPF multitronic,2009,436 200 km,1 968 cm3,Diesel,170 KM,Automatyczna,null,"7,30 l/100km",Kombi,4,5,Czarny,null,Polska,null,Tak,null,Tak,null,Używane,null,null,null,null,null,null
76,82900,Firmy,Osobowe,Audi,A6,null,2014,144 885 km,1 968 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,null,Sedan,4,5,Szary,null,Niemcy,null,null,null,Tak,null,Używane,null,null,null,null,null,null
77,59900,Osoby prywatnej,Osobowe,Audi,A6,Avant 3.0 TDI DPF quattro S tronic,2012,365 886 km,2 967 cm3,Diesel,245 KM,Automatyczna,4x4 (dołączany automatycznie),"7,20 l/100km",Kombi,5,5,Czarny,Metalik,null,null,null,null,null,null,Używane,null,null,Tak,null,null,null
78,366036,Firmy,Osobowe,Audi,A6,40 TDI mHEV Quattro Sport S tronic,2022,10 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (dołączany automatycznie),5 l/100km,Kombi,5,5,Niebieski,Metalik,Polska,null,null,Tak,Tak,null,Nowe,null,null,Tak,null,null,null
79,144999,Osoby prywatnej,Osobowe,Audi,A6,3.0 TDI Quattro S tronic,2017,130 000 km,2 967 cm3,Diesel,272 KM,Automatyczna,null,6 l/100km,Sedan,5,5,Srebrny,Metalik,Polska,null,null,null,null,null,Używane,ZS653NU,null,null,null,null,01/02/2023
80,89000,Osoby prywatnej,Osobowe,Audi,A6,Avant 3.0 TDI DPF quattro tiptronic,2012,206 000 km,2 967 cm3,Diesel,313 KM,Automatyczna,4x4 (stały),8 l/100km,Kombi,5,5,Czarny,Metalik,Polska,23/11/2012,Tak,Tak,Tak,null,Używane,RZ5334H,169 g/km,null,null,null,null
81,19900,Osoby prywatnej,Osobowe,Audi,A6,2.4,2005,349 200 km,2 393 cm3,Benzyna+LPG,177 KM,Manualna,Na przednie koła,14 l/100km,Kombi,5,5,Czarny,null,Szwecja,23/05/2005,null,null,null,null,Używane,FNW48445,null,null,null,null,null
82,135900,Firmy,Osobowe,Audi,A6,Avant 3.0 TDI quattro tiptronic,2014,149 000 km,2 967 cm3,Diesel,320 KM,Automatyczna,4x4 (stały),"7,50 l/100km",Kombi,5,5,Czarny,Metalik,null,null,Tak,Tak,Tak,Tak,Używane,null,164 g/km,Tak,Tak,null,null
83,119900,Firmy,Osobowe,Audi,A6,Avant 3.0 TDI quattro S tronic,2017,159 000 km,2 967 cm3,Diesel,218 KM,Automatyczna,4x4 (stały),"5,70 l/100km",Kombi,5,5,Inny kolor,Metalik,null,null,Tak,Tak,Tak,Tak,Używane,null,164 g/km,Tak,Tak,null,null
84,179900,Firmy,Osobowe,Audi,A6,40 TDI S tronic,2019,76 839 km,1 968 cm3,Diesel,204 KM,Automatyczna,Na przednie koła,"5,20 l/100km",Sedan,4,5,Czarny,Metalik,Polska,10/10/2019,Tak,Tak,Tak,Tak,Używane,DLU5849A,null,Tak,null,null,null
85,39900,Osoby prywatnej,Osobowe,Audi,A6,3.0 TDI Quattro Tiptronic,2009,385 000 km,2 967 cm3,Diesel,240 KM,Automatyczna,4x4 (stały),9 l/100km,Sedan,4,4,Beżowy,Metalik,Niemcy,null,Tak,null,Tak,Tak,Używane,CWL18966,null,null,null,null,null
86,299600,Firmy,Osobowe,Audi,A6,null,2021,2 000 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (dołączany automatycznie),null,Sedan,5,5,Czarny,Metalik,Polska,null,Tak,null,Tak,null,Nowe,null,null,Tak,Tak,null,null
87,67900,Osoby prywatnej,Osobowe,Audi,A6,null,2012,271 000 km,2 995 cm3,Benzyna,310 KM,Automatyczna,4x4 (stały),null,Sedan,5,5,Niebieski,Metalik,Stany Zjednoczone,15/12/2021,Tak,null,null,null,Używane,KLI1301F,null,null,null,null,null
88,5500,Osoby prywatnej,Osobowe,Audi,A6,null,1998,300 200 km,2 398 cm3,Benzyna,165 KM,Manualna,Na przednie koła,null,Sedan,4,5,Srebrny,Matowy,Niemcy,25/09/1998,null,null,Tak,Tak,Używane,RHCB381,null,null,null,null,null
89,199900,Firmy,Osobowe,Audi,A6,40 TDI S tronic,2020,19 293 km,1 968 cm3,Diesel,204 KM,Automatyczna,Na przednie koła,"5,20 l/100km",Sedan,4,4,Czarny,Metalik,Polska,29/01/2021,Tak,Tak,Tak,Tak,Używane,DLU3057A,114 g/km,Tak,null,null,24/11/2025
90,185900,Firmy,Osobowe,Audi,A6,35 TDI mHEV S tronic,2020,25 758 km,1 968 cm3,Diesel,163 KM,Automatyczna,Na przednie koła,5 l/100km,Kombi,5,5,Szary,Metalik,Polska,16/02/2021,Tak,Tak,Tak,Tak,Używane,DLU2385A,121 g/km,Tak,null,null,21/12/2025
91,437700,Firmy,Osobowe,Audi,A6,50 TDI mHEV Quattro Sport Tiptronic,2022,1 km,2 967 cm3,Diesel,286 KM,Automatyczna,4x4 (stały),7 l/100km,Kombi,5,5,Szary,Metalik,Polska,null,null,null,Tak,null,Nowe,null,null,Tak,null,null,null
92,84500,Osoby prywatnej,Osobowe,Audi,A6,3.0 TDI Quattro S tronic,2012,254 000 km,2 967 cm3,Diesel,245 KM,Automatyczna,4x4 (stały),7 l/100km,Kombi,5,5,Czarny,Metalik,Polska,27/07/2012,Tak,null,Tak,Tak,Używane,null,null,null,null,null,null
93,399800,Firmy,Osobowe,Audi,A6,null,2021,14 374 km,2 995 cm3,Benzyna,340 KM,Automatyczna,4x4 (dołączany automatycznie),null,Kombi,5,5,Czerwony,Metalik,Polska,16/04/2021,Tak,Tak,Tak,Tak,Używane,KK52272,null,Tak,Tak,null,null
94,95000,Osoby prywatnej,Osobowe,Audi,A6,Avant 2.0 TDI Ultra S tronic,2015,221 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,null,"5,20 l/100km",Kombi,5,5,Czarny,null,Belgia,null,Tak,null,Tak,Tak,Używane,null,null,null,null,null,null
