,Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie W Mieście,Typ nadwozia,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Kraj pochodzenia,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,Numer rejestracyjny pojazdu,Emisja CO2,Faktura VAT,Leasing,Tuning,Okres gwarancji producenta
406,219900,Firmy,Osobowe,Audi,A6,Avant 40 TDI quattro S tronic,2019,119 871 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (stały),"5,60 l/100km",Kombi,5,5,Czarny,Perłowy,null,null,null,Tak,Tak,Tak,Używane,null,125 g/km,Tak,Tak,null,null
407,299900,Firmy,Osobowe,Audi,A6,55 TFSI mHEV Quattro Sport S tronic,2019,45 600 km,2 995 cm3,Benzyna,340 KM,Automatyczna,4x4 (stały),10 l/100km,Kombi,5,5,Czarny,Metalik,null,null,null,Tak,Tak,Tak,Używane,null,170 g/km,Tak,Tak,null,null
408,199000,Firmy,Osobowe,Audi,A6,Avant 40 TDI S tronic,2018,74 500 km,1 968 cm3,Diesel,204 KM,Automatyczna,Na przednie koła,"5,60 l/100km",Kombi,5,5,Czarny,Metalik,null,null,null,Tak,Tak,Tak,Używane,null,118 g/km,Tak,Tak,null,null
409,324900,Firmy,Osobowe,Audi,A6,Avant 55 TFSI e quattro S tronic,2020,7 700 km,1 984 cm3,Hybryda,252 KM,Automatyczna,4x4 (stały),null,Kombi,5,5,Biały,Perłowy,null,null,null,Tak,Tak,Tak,Używane,null,44 g/km,Tak,Tak,null,null
410,169900,Firmy,Osobowe,Audi,A6,Avant 40 TDI quattro S tronic,2018,139 000 km,1 968 cm3,Diesel,204 KM,Automatyczna,Na przednie koła,"5,60 l/100km",Kombi,5,5,Niebieski,Metalik,null,null,null,Tak,Tak,Tak,Używane,null,118 g/km,Tak,Tak,null,null
411,209900,Firmy,Osobowe,Audi,A6,Avant 40 TDI quattro S tronic,2019,96 000 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (stały),"5,60 l/100km",Kombi,5,5,Czarny,Metalik,null,null,null,Tak,Tak,Tak,Używane,null,125 g/km,Tak,Tak,null,null
412,279900,Firmy,Osobowe,Audi,A6,Avant 50 TDI quattro tiptronic,2018,113 900 km,2 967 cm3,Diesel,286 KM,Automatyczna,4x4 (stały),"7,60 l/100km",Kombi,5,5,Czarny,Metalik,null,null,null,Tak,Tak,Tak,Używane,null,157 g/km,Tak,Tak,null,null
413,169900,Firmy,Osobowe,Audi,A6,Avant 40 TDI S tronic,2019,112 000 km,1 968 cm3,Diesel,204 KM,Automatyczna,Na przednie koła,null,Kombi,5,5,Czarny,Metalik,null,null,null,Tak,Tak,Tak,Używane,null,118 g/km,Tak,Tak,null,null
414,289900,Firmy,Osobowe,Audi,A6,Avant 50 TDI quattro tiptronic,2018,179 980 km,2 967 cm3,Diesel,286 KM,Automatyczna,4x4 (stały),"7,60 l/100km",Kombi,5,5,Czarny,Metalik,null,null,null,Tak,Tak,Tak,Używane,null,157 g/km,Tak,Tak,null,null
415,84000,Osoby prywatnej,Osobowe,Audi,A6,2.0 TDI Multitronic,2013,113 000 km,1 968 cm3,Diesel,177 KM,Automatyczna,Na przednie koła,6 l/100km,Sedan,4,5,Czarny,Metalik,Polska,10/04/2014,Tak,Tak,Tak,Tak,Używane,WPI 87848,null,null,null,null,null
416,175000,Firmy,Osobowe,Audi,A6,Avant 45 TDI quattro tiptronic,2018,62 340 km,2 967 cm3,Diesel,231 KM,Automatyczna,4x4 (dołączany automatycznie),"6,20 l/100km",Kombi,5,5,Czarny,Metalik,null,null,Tak,Tak,null,null,Używane,null,null,null,null,null,null
417,24900,Firmy,Osobowe,Audi,A6,3.2 FSI Quattro,2005,234 000 km,3 123 cm3,Benzyna,255 KM,Manualna,4x4 (stały),15 l/100km,Kombi,4,5,Inny kolor,Metalik,Niemcy,null,Tak,null,Tak,null,Używane,null,null,null,null,null,null
418,462230,Firmy,Osobowe,Audi,A6,Avant 55 TFSI quattro S tronic,2021,7 km,2 995 cm3,Benzyna,340 KM,Automatyczna,4x4 (dołączany automatycznie),"10,20 l/100km",Kombi,5,5,Szary,Perłowy,Polska,null,null,null,Tak,null,Nowe,null,null,Tak,null,null,null
